shinji	kyuji	inherited
# 常用漢字 新字体		
万	萬	
与	與	
両	兩	
並	竝	並
乗	乘	
乱	亂	
亀	龜	
予	豫*¹	
争	爭	
亜	亞	
仏	佛	
仮	假	
会	會	
伝	傳	
体	體	
余	餘*¹	
併	倂	併
価	價	
倹	儉	
偽	僞	
児	兒	
党	黨	
内	內	
円	圓	
写	寫	
処	處	
刹	剎	
剣	劍	
剤	劑	
剰	剩	
励	勵	
労	勞	
効	效	
勅	敕	
勧	勸	
勲	勳	
区	區	
医	醫	
単	單	
即	卽	
厳	嚴	
参	參	
双	雙	
収	收	
叙	敍	敘
台	臺*¹	
号	號	
呉	吳	
告	吿	
営	營	
嘱	囑	
団	團	
囲	圍	
図	圖	
国	國	
圏	圈	
圧	壓	
堕	墮	
塁	壘	
塩	鹽	
増	增	
壊	壞	
壌	壤	
壮	壯	
声	聲	
壱	壹	
売	賣	
変	變	
奥	奧	
奨	奬	
姫	姬	
娯	娛	
婿	壻	
嬢	孃	
学	學	
宝	寶	
実	實	
寛	寬	
寝	寢	
対	對	
寿	壽	
専	專	
将	將	
尚	尙	
尽	盡	
届	屆	
属	屬	
岳	嶽	
峡	峽	
巣	巢	
巻	卷	
帯	帶	
帰	歸	
庁	廳	
広	廣	
廃	廢	
弁	瓣辨辯*¹	
弐	貳	
弥	彌	
弾	彈	
当	當	
径	徑	
従	從	
徳	德	
徴	徵	
応	應	
恋	戀	
恒	恆	
恵	惠	
悦	悅	
悩	惱	
悪	惡	
惨	慘	
慎	愼	
懐	懷	
戦	戰	
戯	戲	
戸	戶	
戻	戾	
払	拂	
抜	拔	
択	擇	
担	擔	
拝	拜	
拠	據	
拡	擴	
挙	擧	
挟	挾	
挿	插	
捜	搜	
掲	揭	
揺	搖	
摂	攝	
撃	擊	
教	敎	
数	數	
斉	齊	
斎	齋	
断	斷	
既	旣	
旧	舊	
昼	晝	
晩	晚	
普	暜	普
暁	曉	
暦	曆	
曽	曾	
条	條	
来	來	
枠	椊	
枢	樞	
栃	櫔	
栄	榮	
桜	櫻	
桟	棧	
検	檢	
楼	樓	
楽	樂	
概	槪	
様	樣	
権	權	
横	橫	
欠	缺*¹	
欧	歐	
歓	歡	
歩	步	
歯	齒	
歳	歲	
歴	歷	
残	殘	
殴	毆	
殻	殼	
毎	每	
気	氣	
没	沒	
沢	澤	
浄	淨	
浅	淺	
浜	濱	
涙	淚	
清	淸	
渇	渴	
済	濟	
渉	涉	
渋	澁	
渓	溪	
温	溫	
湾	灣	
湿	濕	
満	滿	
滝	瀧	
滞	滯	
潜	潛	
瀬	瀨	
灯	燈	
炉	爐	
点	點	
為	爲	
焼	燒	
犠	犧	
状	狀	
独	獨	
狭	狹	
猟	獵	
献	獻	
獣	獸	
瓶	甁	瓶
産	產	
画	畫	
畳	疊	
痩	瘦	
痴	癡	
発	發	
盗	盜	
県	縣	
真	眞	
研	硏	
砕	碎	
磁	𥔵	
礼	禮	
禅	禪	
秘	祕	
称	稱	
税	稅	
稲	稻	
穂	穗	
穏	穩	
窃	竊	
窓	窻	
竜	龍	
簡	𥳑	
粋	粹	
粛	肅	
糸	絲	
経	經	
絵	繪	
絶	絕	
継	繼	
続	續	
総	總	
緑	綠	
緒	緖	
縁	緣	
縄	繩	
縦	縱	
繊	纖	
缶	罐*¹	
聴	聽	
胆	膽	
脱	脫	
脳	腦	
臓	臟	
致	𦤶	
舎	舍	
舗	舖	
艶	艷	
芸	藝*¹	
茎	莖	
荘	莊	
蔵	藏	
薫	薰	
薬	藥	
虚	虛	
虫	蟲	
