親字	正字	character set	comment
一		JIS 第1水準漢字	
丁		JIS 第1水準漢字	
七		JIS 第1水準漢字	
万*	萬	JIS 第1水準漢字	*also exists as a separate character but with minimal use
丈		JIS 第1水準漢字	
三		JIS 第1水準漢字	
上		JIS 第1水準漢字	
下		JIS 第1水準漢字	
不		JIS 第1水準漢字	
与	與	JIS 第1水準漢字	
丑		JIS 第1水準漢字	
且		JIS 第1水準漢字	
世		JIS 第1水準漢字	
丘		JIS 第1水準漢字	
丙		JIS 第1水準漢字	
丞		JIS 第1水準漢字	
両	兩	JIS 第1水準漢字	
並		JIS 第1水準漢字	
中		JIS 第1水準漢字	
串		JIS 第1水準漢字	
丸		JIS 第1水準漢字	
丹		JIS 第1水準漢字	
主		JIS 第1水準漢字	
乃		JIS 第1水準漢字	
久		JIS 第1水準漢字	
之		JIS 第1水準漢字	
乍		JIS 第1水準漢字	
乎		JIS 第1水準漢字	
乏		JIS 第1水準漢字	
乗	乘	JIS 第1水準漢字	
乙		JIS 第1水準漢字	
九		JIS 第1水準漢字	
乞		JIS 第1水準漢字	
也		JIS 第1水準漢字	
乱	亂	JIS 第1水準漢字	
乳		JIS 第1水準漢字	
乾		JIS 第1水準漢字	
亀	龜*	JIS 第1水準漢字	*CJK Compatibility Ideograph, may render incorrectly on unsupported fonts
了		JIS 第1水準漢字	
予*	豫	JIS 第1水準漢字	*also exists as a separate character
争	爭	JIS 第1水準漢字	
事		JIS 第1水準漢字	
二		JIS 第1水準漢字	
云		JIS 第1水準漢字	
互		JIS 第1水準漢字	
五		JIS 第1水準漢字	
井		JIS 第1水準漢字	
亘	亙	JIS 第1水準漢字	
亙		JIS 第1水準漢字	
些		JIS 第1水準漢字	
亜	亞	JIS 第1水準漢字	
亡		JIS 第1水準漢字	
交		JIS 第1水準漢字	
亥		JIS 第1水準漢字	
亦		JIS 第1水準漢字	
亨		JIS 第1水準漢字	
享		JIS 第1水準漢字	
京		JIS 第1水準漢字	
亭		JIS 第1水準漢字	
亮		JIS 第1水準漢字	
人		JIS 第1水準漢字	
什		JIS 第1水準漢字	
仁		JIS 第1水準漢字	
仇		JIS 第1水準漢字	
今		JIS 第1水準漢字	
介		JIS 第1水準漢字	
仏	佛	JIS 第1水準漢字	
仔		JIS 第1水準漢字	
仕		JIS 第1水準漢字	
他		JIS 第1水準漢字	
付		JIS 第1水準漢字	
仙		JIS 第1水準漢字	
代		JIS 第1水準漢字	
令		JIS 第1水準漢字	
以		JIS 第1水準漢字	
仮	假	JIS 第1水準漢字	
仰		JIS 第1水準漢字	
仲		JIS 第1水準漢字	
件		JIS 第1水準漢字	
任		JIS 第1水準漢字	
企		JIS 第1水準漢字	
伊		JIS 第1水準漢字	
伍		JIS 第1水準漢字	
伎		JIS 第1水準漢字	
伏		JIS 第1水準漢字	
伐		JIS 第1水準漢字	
休		JIS 第1水準漢字	
会	會	JIS 第1水準漢字	
伝	傳	JIS 第1水準漢字	
伯		JIS 第1水準漢字	
伴		JIS 第1水準漢字	
伶		JIS 第1水準漢字	
伸		JIS 第1水準漢字	
伺		JIS 第1水準漢字	
似		JIS 第1水準漢字	
伽		JIS 第1水準漢字	
佃		JIS 第1水準漢字	
但		JIS 第1水準漢字	
位		JIS 第1水準漢字	
低		JIS 第1水準漢字	
住		JIS 第1水準漢字	
佐		JIS 第1水準漢字	
佑		JIS 第1水準漢字	
体*	體	JIS 第1水準漢字	*also exists as a separate character but with minimal use
何		JIS 第1水準漢字	
余*	餘	JIS 第1水準漢字	*also exists as a separate character
作		JIS 第1水準漢字	
佳		JIS 第1水準漢字	
併		JIS 第1水準漢字	
佼		JIS 第1水準漢字	
使		JIS 第1水準漢字	
侃		JIS 第1水準漢字	
例		JIS 第1水準漢字	
侍		JIS 第1水準漢字	
供		JIS 第1水準漢字	
依		JIS 第1水準漢字	
侠	俠	JIS 第1水準漢字	
価	價	JIS 第1水準漢字	
侭	儘	JIS 第1水準漢字	
侮	侮*	JIS 第1水準漢字	*CJK Compatibility Ideograph, may render incorrectly on unsupported fonts
侯		JIS 第1水準漢字	
侵		JIS 第1水準漢字	
侶	侣	JIS 第1水準漢字	
便		JIS 第1水準漢字	
係		JIS 第1水準漢字	
促		JIS 第1水準漢字	
俄		JIS 第1水準漢字	
俊		JIS 第1水準漢字	
俗		JIS 第1水準漢字	
