# Characters taken from I.MingVar to merge into I.Ming.

# alt form (navy blue)
巤鼠	儠巤擸攛爉犣獵癙竄臘蠟躐躥邋鑞鑹镴鬛鬣鱲鼠鼢鼣鼤鼥鼦鼧鼨鼩鼪鼫鼬鼭鼮鼯鼰鼱鼲鼳鼴鼵鼶鼷鼸鼹鼺鿻鿼㯿㲱䁽䃳䉭䜲䝓䪉䶂䶃䶄䶅䶆䶇䶈䶉𡂏𡅘𡓍𣋲𣜌𣰫𤁯𤢪𥀰𥎣𦆻𦒦𦒩𦼤𧀨𧒑𧞪𧭞𧰠𩙑𩧆𪇹𪔸𪔺𪔻𪔼𪔽𪔾𪔿𪕀𪕁𪕂𪕃𪕄𪕆𪕇𪕈𪕉𪕊𪕋𪕌𪕍𪕎𪕏𪕐𪕑𪕒𪕓𪕔𪕗𪕘𪕚𪕛𪕜𪕝𪕞𪕟𪕠𪕤𪕦𪕧𪕨𪕩𪕪𪕫𪕬𪕭𪕮𪕯𪕰𪕱𪕴𪕵𪕶𪕷𪕸𪕹𪕺𪕽𪕾𪖀𪖁𪖂𪖃𪖄𪖅𪖆𪖇𪖈𪖉𪖋𪖌𪖍𪖎𪖏𪙷𫚭𫜢𮪠
肅	嘯彇橚櫹歗潚瀟熽璛簫繡肅蕭蟰蠨鏽驌鱐鷫㔅㩋㪩㬘䃤䊥䎘䐹𡣾𢑁𢸳𢹱𤄙𤑳𦘤𦢩𦪓𧅣𧹀𧽷𨅋𩘹𩙚𪆭
兓	僭兓噆嶜憯撍朁橬潛灊熸簪糣蠶譖谮鐕鬵㔆㣅㻸㿊䁮䃡䅾䍼䐶䣟䤐䫬䭙𠎱𠓸𡡖𢑋𣠟𣩳𣾤𤾶𥎑𥸢𧌩𧕽𧖛𧝆𨅔𨼐𨽨𩀿𩅨𩱠𩻛𪅽𪖼𮆪𮚋
華𡸁垂	倕厜唾垂埵娷崜捶棰涶甀睡硾箠綞缍腄菙諈郵錘锤陲㩾㻔䅜䍋䮔䳠𡙇𡸁𡼻𢏴𢐺𢛉𢻩𣇦𣣮𥡭𦈼𦖋𦥻𦸙𨙔𨙡𨜚𨜲𨲉𨺪𨿠𩃒𩗰𩜀𩣷𩩞𩭦𩸫𭏀𭙣嘩墷嬅崋曄曅樺澕燁爗皣瞱華譁鏵鞾韡驊鷨㒯㠏㦊㷸䅿𡪤𤒹𦠜𦾏𧑍𧤻𨣄𨶱𩀵𩏧𪏥𬀽
剆	剆勆啷塱嫏廊朗榔樃欴瑯蓈蓢螂郎郒鎯㓪㙟㮾㾿䱶𠻡𣂞𤠸𤭒𦫍𨉰𩝢𪁜
以	以似姒娰拟泤笖苡鉯㕽䎣䬮𠳎𩛮𫈄𫣵𬠊
尔	你妳寳尓尔弥您沵狝猕玺珎祢称袮覙趂迩鉨靌鿭㟜㳽䂧䑐䟢𠰚𠵸𡝠𡢜𡫷𣆋𣓔𣧢𤦀𤫋𤫞𤵜𤶤𥅘𥇎𥬞𥭫𥮜𥿜𦍴𦕗𦙳𦬼𦰴𧉰𧢖𧤆𧧂𧵉𨋎𨧮𨨮𨰦𨳴𩚸𩜖𩬘𩲪𩶗𩸹𩿥𪋈𬝍𮡼
# true form (light blue)
尞	僚嘹嫽寮尞屪嶚嶛憭撩暸橑潦燎爒獠璙療瞭竂簝繚缭膫蟟蹽轑遼鐐镣镽飉鷯鹩㙩䕩䜍䝤䨅䩍𢄷𢿞𣟆𣩢𤢸𥕴𥛰𦌒𦪕𧀪𧂏𧝜𧰉𧽽𨝷𨣀𩕐𩙂𩟩𩪚𩯊𩴤𩻻
票	僄剽勡嘌墂嫖幖彯徱慓摽旚標檦漂熛瓢瘭瞟磦票篻縹缥翲膘蔈薸螵褾謤醥鏢镖顠飃飄飘驃骠魒鰾鳔㟽㠒㬓㯹㵱㼼䅺䏇䕯䧣䴩𠎼𠐆𠖟𠨌𡣋𡬽𢅚𢐕𢶏𢷋𢿏𣄔𣱪𣱯𣿖𤡑𤾛𥋠𦆝𧝼𧢄𧽤𨄏𨝓𨭚𩦠𩦾𩪊𩮳𩯧𪅃𪏫
