親字	旧字	異体字
㿉		㿗
䘌		𧏾
䧢		𨸟
一		弌
万	萬万	
丈		𠀋
三		弎
与	與	
丑		丒
世		卋丗
丘		坵㐀邱
両	兩	㒳
並	竝	並
丱		卝
丸		𠁽
久		镹乆
乗	乘	
乱	亂	
乾		乹
亀	龜	龜
予	予豫	
争	爭	
事		㕝叓亊
二		弍
于		亐亏
亜	亞	
亟		焏
亡		兦
亨		亯
京		亰
亭		𠅘
亮		𠅙
人		𠆢亻
今		𫝆仐
仏	佛	𠏹
仞		仭
以		㠯
仮	假	
会	會	㑹
伝	傳	
似		佀
佇		竚
体	體	軆躰
余	余餘	
作		做
佞		侫
佩		珮𬽳
併	倂	
佸		𠈲
使		𠉕
侃		偘𠈉
価	價	
侮	侮	
侯		𥎦矦
便		𠊳
俎		爼
俐		悧
俟		竢
俠		侠
俣		㑨
俱		倶
倅		伜
倆		𠈓
倍		俖
倏		焂倐
候		𠊱
倚		𠋣
倦		勌
倹	儉	
健		徤
偬		傯倊
偸		偷
偽	僞	
傑		杰
傘		𠍘
備		偹僃
傚		俲
傲		慠
僂		偻
僉		㑒
僊		僲
像		像
僕		䑑㒒
僧	僧	
僭		僣
儁		㒞
儐		𭀀
儔		𠍻俦
儕		㑪
儘		侭
儚		𠐧
儞		你
儻		傥
儼		𠑊
充	充	
兆		𠧞
光		炗灮
兌		兑兊
免	免	
兎		兔兔
児	兒	
兕		𤉡𧰽
兗		兖
党	黨	
兜		兠
全		㒰
兪		俞
冀		兾冀
冂		冋
内	內	
円	圓	圎
冉		冄
冊	册	𠕋𠕁
冏		囧
冒		冐
冗		宂冗
写	寫	𭂁冩
冢		𠣥
冤		寃
冥		㝠
冪		幂羃
冬	冬	
冱		𠖱
凄		淒
凜		澟𠘡凛
凡		凢
処	處	
凭		凴
凶		𣧑
函		圅凾
刀		釖
刃		刄
刈		𠛄苅
刊		刋
刑		㓝𠛬
刓		㝴
删		𠜂刪
別		𠛰
利		𥝤
刮		𠜜
刱		剙剏
刲		𠝥
刹		𠜽
剃		鬀
則		𠟭
剋		尅勊
前		歬偂
剔		𠜓
剛		㓻
剜		𠛠
剝		剥
剣	劍	𠝏釼剱劔劒
剤	劑	
剪		翦
剰	剩	
割	割	
創		𠟐戧刅
剿		劋𠞰
功		㓛
劫		刦刧
励	勵	
労	勞	
効	效	
勁		劤
勅	敕	
勇	勇	恿勈
勉	勉	
勖		勗
勢		㔟
勤	勤	
勧	勸	
勲	勳	勛
勺	勺	
勻		匀
匃		匄
匆		匇囱匆
化		𠤎
匝		迊帀
匯		滙
匳		籢奩匲
区	區	
医	醫医	毉
卅		𠦃
卉		芔卉
卑	卑	𤰞
卒		䘚卆
卓		桌
協		旪恊
単	單	𠦤
博		愽
卣		𠧪
卮		巵
卯		戼夘
即	卽	
却		㕁卻
卺		𢀾𧯢巹
卿		卿
厄		𢀴
厖		庬
厚		㫗
原		厡
厨		㕑廚
厩		廐廏
厭		猒
厲		厉
厳	嚴	
去		厺
参	參	
双	雙	
収	收	
叔		𠦑
叙	敍	敘
叟		叜
叡		睿
叢		藂樷
台	臺台	䑓
史		㕜
号	號	𭈹
吃		𠯏
吉		𠮷
同		仝
吝		㖁
吞		呑
吟		訡
吹		龡
吻		䐇脗
吽		呍
呉	吳	吴
告	吿	
周	周	
呪		咒
和		龢咊
咢		㖾
咤		咜吒
員		貟
哲		啠喆嚞悊
唇		脣
啀		嘊
啓		啔
啖		噉啗
啞		唖
善		譱
喉		㗋
喜		歖㐂
喝	喝	𡀽
喩		喻
喪		𠷔䘮
営	營	
嗅		齅
嗷		嗸
嘆	嘆	
嘑		謼
嘔		呕
嘗		𠹉甞
嘩		𠵅
嘯		嘨
嘱	囑	
嘷		嗥
噓		嘘
器	器	噐
噴	噴	
嚔		嚏
嚙		噛
囂		嚻
囊		嚢
回		囬囘
囟		顖
因		囙
団	團	
囲	圍	
図	圖	圗
国	國	囯囶圀
圏	圈	
園		薗
土		圡𡈽
圧	壓	
圭		珪
址		阯
坌		坋
坎		埳
坏		坯阫
坐		㘴
坑		阬
坼		𡍩
垂		埀
垓		畡
垛		垜
垠		𡋳
埋		薶
城	城	
埒		埓
埠		埗
埣		𡉻
執		秇
堆		𠂤
堕	墮	墯𡐦
堡		堢
堤		埞
堰		隁
場		塲
塀	塀	
塁	壘	
塍		畻𣎒堘
塚	塚	
塡		填
塩	鹽	𦣪
塹		壍𡐛
墁		㙢
墍		𡏲
増	增	
墨	墨	
墩		墪
墳	墳	
壅		㙲
壊	壞	
壌	壤	
壎		塤
壗		𡋤
壚		𡉴
壜		罎
壟		壠
壮	壯	
声	聲	
壱	壹	
売	賣	
壺		壷
変	變	
夐		𢿌
多		夛
夢		夣㝱梦
奇		竒
契	契	
奔	奔	𢍃
奘		弉
奥	奧	
奨	奬	㢡獎
妊		姙
妖		𡝩
妙		玅
妝		娤𡝂
妬		妒
姉		姊
姍		姗
姦		姧
姪		侄
姫	姬	姬
姮		嫦
姸		妍
姻		婣
娟		姢
娯	娛	
娿		妸婀
婚		㛰
婦		媍
婿		聟壻
媼		媪
嫂		㛮
嫉		㑵
嫩		媆嫰
嫫		𡠜
嫵		娬
嫺		𡢃嫻
嬢	孃	
嬲		娚嫐
嬾		嬾
子		㜽
学	學	斅斈
孶		孳
孺		𡦘
孼		孽
宅		㡯
宇		㝢𡧃
守		垨
安		𡚴
宜		冝宐
宝	寶	寳
実	實	
宿		㝛
寇		𡨥冦
富		冨
寓		庽
寛	寬	
寝	寢	
寧	寧	甯
寱		䆿
対	對	
寿	壽	
専	專	
将	將	
尚	尙	
尠		尟
尢		尣
尩		𡯪尪尫
尭	堯	
尻		㞍
尽	盡	𥁞
屁		𥧔
届	屆	
屎		𡱁
屛		屏
属	屬	
屢		屡
層	層	
屭		屓
岡		堽崗
岪		𡶒
岭		岺
岳	嶽	
岸		𡶜㟁
峡	峽	
峨		峩
峰		峯
島		隯隝陦嶹㠀嶌嶋
崎		陭㟢嵜﨑
崑		崐
崒		崪
崖		崕
崙		崘
崛		崫
嵆		嵇
嵌		篏
嵒		嵓
嵩		崧
嵬		㟴
嵯		嵳
嶃		嶄
嶢		嶤𡸳
嶧		𡵸
巌	巖	巗
川		巛
巣	巢	
左		㔫
巷		衖
巻	卷	
巽	巽	
帆		𩗋䑺㠶
希		𢁫
帑		伖
帚		菷
師		师
帯	帶	
帰	歸	皈
帽		冃㡌
幔		㡢
幕		幙
幣		幤
幫		帮幇
幬		𢃖
幮		㡡
年		秊
幵		开
幷		并
幸		𠂷
幹		榦
幺		么
幼		𢆲
庁	廳	廰
広	廣	
座		𫝷
庶		庻
廁		厠
廂		厢
廃	廢	
廈		厦
廉	廉	
廊	廊	
廛		㙻鄽壥
廝		厮
廟		庙庿
廠		厰
廨		𪠘
廩		廪㐭
廻		迴𢌞廽
廿		卄
弁	弁瓣辯辨	辧
弄		挵挊
弐	貳	貮
弑		弒
弛		㢮
弥	彌	㣆
弱		𢐅
強	强	
弼		𢐀弻
弾	彈	
彅		𦿶
彎		弯
彐		彑
当	當	
彙		彚
彝		彜
形		𢒈形
彦	彥	
彫	彫	
彬		斌
往		𢔎徃
征		𨒌
徂		䢐
径	徑	迳逕
徇		𢓈
徒		𨑒
従	從	从
得		𢔶㝵
徙		𨑭
御		𢕜
徭		傜
微		㣲
徳	德	𢛳悳
徴	徵	
忘		㤀
応	應	
忝		㤁
忽		𢗘
怕		𢗌
怖		悑
怙		𢛅
思		恖
急		㤂
怪		恠
怱		悤忩
恋	戀	
恐		𢙢
恒	恆	
恚		㜇㤬
恟		忷
恣		𢙊
恤		䘏卹
恥		耻
恨		𢙃
恪		愙㤩
恭		𢙄
恵	惠	僡
悄		𢖹
悋		恡
悔	悔	
悟		忢
悦	悅	恱
悩	惱	𢚰
悪	惡	
悱		㥱
悴		忰
悶		㥃
悽		恓
惇		惇
惕		悐
惛		惽
惝		𢠵
惨	慘	
惰		憜
惸		𢞛
愆		諐
愈		愈
愒		𢢚
愛		㤅
愜		㥦
愧		媿
愨		慤
慈	慈	㤵
慌		㤺
慍		愠
慎	愼	眘
慙		慚
慢		𢢔
慨	慨	
慷		忼
慼		慽
憁		愡
憂		𢝊
憊		𢟡
憎	憎	
憑		慿
憖		憗
憙		憘
憚		惮
憝		憞
憤	憤	
憩		憇
憫		𢡻
憯		㦧
憲	憲	
懇		𢡆
懈		𢢣
懊		㤇
懍		懔
懐	懷	
懕		㦔
懜		懵
懣		𢡛
懦		愞
懲	懲	
懶		懶
懺		懴
懼		愳
懿		㦤
戎		𢦦
成	成	
或		㦯
戛		戞
戟		𢧢
戦	戰	
截		𢧵
戯	戲	戱
戴		戴
戸	戶	户
戻	戾	
払	拂	
批		𢱧
扼		㧖搹
折		㪿
抜	拔	㧞
択	擇	
抽		𢭆
担	擔担	
拇		胟
拋		抛
拍		𢫦
拕		拖扡
拘		抅
拝	拜	
拠	據	㩀
拡	擴	㨯
拯		抍
拳		𢮙
拽		捙
拿		拏
指		𢫾
挙	擧	舉
挟	挾	
挿	插	揷
捐		捐
捜	搜	搜
捥		𢪸
掎		𢰤
掔		孯
掬		匊
掲	揭	
揄		𢶖
揶		捓
揺	搖	
搒		𢮔
搔		掻
搢		搢
搩		𢷡
搭		撘
携		𢹂㩗擕攜
摂	攝	
摑		掴
摻		撡
撃	擊	
撈		𢭐
撐		撑
播		𢿥
撼		㨔
撿		𢮦
擁		𢹬
擂		攂
擎		擏㢣
擡		抬
擣		搗𢭏
攢		攅
攪		撹
攫		爴
攬		㩜擥
攴		攵
敏	敏	
教	敎	
敢		𠭖
敦		㪟
数	數	𢿙
敲		搞㪣
整		𢿫
敵		𢿪
敷		旉𢾭
斉	齊	斊亝
斎	齋	斋
斑		辬
斟		酙
斥		㡿
斧		𨨞
断	斷	𣃔
