正字	異体字	附録字
㐁	𠀬𦧖􃾼	
㐌		
㐖		
㐜		
㐤	󲃞􃿁	
㐨	㜿	
㐩	󰔶	
㐲		
㐻	󵎙	
㐼		
㑁	􃿊	
㑃	𢲷	
㑉		
㑊		
㑋		
㑌	􅦕	󱨏􅦖
㑍		
㑎		
㑐		
㑗		
㑙		
㑚		
㑛		
㑜		
㑝	󱩨	
㑞		
㑟		
㑣		
㑦		
㑮		
㑯		
㑳	𠊣󰘊	
㑵		
㑶		
㑻		
㑼		
㑾	󵋈	
㑿	􃿙	
㒀		
㒁		
㒂		
㒄	㦓􃿞󱯸	
㒅		
㒈		
㒊		
㒎	𠎷	
㒑		
㒒		
㒓	𠋽㣵达􃡭􃿟	
㒔		
㒕		
㒙		
㒚	懚􃡮󱮰	
㒛	􃿨	
㒜		
㒝		
㒟	㜵	
㒠	𠏪𧭸	
㒡		
㒤	􃿱	
㒥	僼	
㒦		
㒩	𢥾	
㒳	󱁾	
㒴	󱺞􃿼	
㒸		
㒻	㝟㫯󲕂	
㒼	䓣􄀁󱁿􄀂	
㒽		
㒾	𦋤	􄀃
㒿	𣯤䍦	
㓃		
㓄	𣜣􄀊􄀉	
㓅		
㓈		
㓉		
㓊		
㓋		
㓌		
㓎	𠖶	
㓏		
㓐		
㓑	󲓅	
㓓		
㓔		
㓖	䫾䬛􄀖	
㓘	𤥔	
㓚	㓛	
㓞	𭃌𠛉󸵹󲥁󱗴	
㓟		
㓠		
㓡	𠛺󶅛󷹈􃡰	
㓢	㪾	
㓣	􃡯	
㓤	􄀡	
㓦		
㓧		
㓩		
㓬	󶛆	
㓭	􃡵	
㓱	𠞼󱣁	
㓲		
㓳		
㓴	𠟺	
㓵	𠟎㗉􄀬􄀫	
㓹	󺁩	
㓺	􄀭􃡹􄀮	
㓼	𠝱𠞘𠞻𠞩𠟴㔑	
㓽		
㓾	𠞂󱣑􃢁	
㔀		
㔁	􄀳	
㔂		
㔃	㔢􃢃	
㔄	􃡿	
㔅	􀳩	
㔆	𠟆􃢀	
㔇	󱣓􄀴	
㔊	𨭖􃢄􃢅	
㔋	􃢇	
㔌	􃢆󱤡	
㔍	𠟬𠠀䈟󱤛	
㔎	􄀼	
㔏		
㔒	󱤙󱤵	
㔓	𠚲􃢍	
㔕	㔕	
㔗	𠡂	
㔙	𠡮􄀾	
㔝	􃢏	
㔞	􄁄	
㔠		
㔡	𠢒􄁈	
㔣	𠢿	
㔤	􄁏	
㔥		
㔦	󶬉	
㔨	􄁝	
㔩	𠤅𩇠󲂖􄁞	
㔪	󲂍	
㔮		􄰍
㔯	􄁧􄁨	
㔱	􄁪	
㔴	𠥦	
㔵		
㔶	㯯𥂃𦽫󵡜􄁲	
㔸	𠥃𠥶𨔛􄁳	
㔹	𭃄	
㕃		
㕄		
㕅		
㕆		
㕇		
㕊		
㕋	㕂庈􂨘	
㕌		
㕎		
㕐		
㕒	嶬􄂊	
㕙	􄂏	
㕚	󲧙	
㕞		
㕢	𠭸󲩆󽽿	
㕣	兖􄂚	
㕥		
㕦		
㕧	吚𣢁𣢎𣢍䐖𧥤	
㕩		
㕪		
㕫		
㕬		
㕭	􄂝	
㕮		
㕯	󵘴	
㕰		
㕱		
㕲		
㕶		
㕸		
㕹	󳙴	
㕻	咅	
㖀		
㖅	𠲌	
㖆		
㖇	咡	
㖏	𧨤𧨚	
㖐		
㖑	􄂩􄂨	
㖒		
㖓		
㖔		
㖕	𠯘㖖啈	
㖘	􄂪	
㖟	䛵	
㖡		
㖢	𠹂􄂺	
㖤		
㖥	𠳁	
㖦		
㖧		
㖨	􄂲􄂳	
㖩		
㖪		
㖴		
㖵		
㖶		
㖷	𠸭	
㖹		
㖺		
㖻		
㖼		
㖿		
㗀		
㗂		
㗄		
㗅		
㗆	嗝	
㗇		
㗈		
㗊	󳧸	
㗌		
㗓		
㗔	􄃈	
㗕		
㗗	𠕩􄃌	
㗘	𠽢𪙍𪚂𪚈󳞩􄃆􄃅􄃄	
㗙	𠴾	
㗚		
㗢		
㗥	􄃖	
㗦		
㗧	㗌㖽	
㗨	𧥤	
㗩	􄃎􄃏	
㗪		
