親字	旧字	正字	本字	同字	古字	簡易	俗字
々							
〆				乄			
㒼							
㓇							
㔩							
㕞							
㕣							
㕮							
㖦							
㖨							
㗅							
㗚							
㗴							
㘚							
㙊							
㚙							
㛏							
㟨							
㟴							
㟽							
㡀							
㡜							
㢝							
㤚							
㥯							
㦬							
㧿							
㩮							
㩳							
㬎							
㬚							
㭭							
㭷							
㮇							
㮍							
㯃							
㰏							
㰦							
㵌							
㵤							
㸅							
㸏							
㹠							
㹦							
㹨							
㺔							
㽲							
㽷							
㾮							
㿉				㿗			
䀹							
䁘							
䄅							
䅈							
䅏							
䅣							
䆿							
䇦							
䇮							
䈎							
䋖							
䌂							
䍃							
䏰							
䐈							
䐜							
䐢							
䑴							
䑶							
䒀							
䒑							
䒾							
䓔							
䓾							
䔈							
䕩							
䖡							
䗥							
䗪							
䙁							
䙥							
䚡							
䚯							
䚻							
䜌							
䝟							
䝤							
䟆							
䥈							
䧢							𨸟
䨄							
䩞							
䪼							
䫇							
䫏							
䯂							
䯊							
䯒							
䯰							
䳄				鴜			
䳑							
䳢							
䴇							
䶊							
䶹				𠂇			
一					弌		
丁							
丂							
七							
万	萬						
丈							𠀋
三					弎		
上			丄				
下			丅				
丌							
不							
与	與						
丏							
丐							
丑							丒
且							
丕							
世					卋		
丗							
丘							坵
丙							
丞							氶
丟							
両	兩						两
並	竝			傡並			
丨							
丩							
个							
丫							
中							
丮							
丯							
丰							
丱			卝				
串							
丳							
丵							
丶							
丸							
丹							
主							
丼							
丿							
乀							
乁							
乂							
乃							
久							
乇							
么							
之							
乍							
乎							
乏							
乑							
乒							
乓							
乖							
乗	乘		椉				
乙							
乜							
九							
乞							
也							
乢							
乣							
乩							
乱	亂						
乳							
乴							
乵							
乾							乹
乿							
亀	龜		龜	龜			
亅							
了							
予	豫予						
争	爭						
事					㕝叓		亊
二					弍		
亍							
于			亏				
云							
互							
五							
井							
亘							
亙							
些							
亜	亞						
亟				焏			
亠							
亡			兦				
亢							
交				胶			
亥							
亦							
亨							
享					亯		
京							亰
亭							𠅘
亮							𠅙
亳							
亶							
亹							
人					儿		
亼							
什							
仁							
仂							
仄							
仆							
仇							
仈							
今							𫝆
介							
仍							
仏	佛						
仔							
仕							
他							
仗							
付							
仙				僊			僲
仚							
仛							
仞							仭
仟							
仠							
仡							
仢							
代							
令							
以			㠯				
仨							
仫							
仮	假						
仯							
仰							
仱							
仲							
仳							
仵							
件							
价							
任							
份							
仿							
伀							
企							
伂							
伃				妤			
伈							
伉							
伊							
伋							
伌							
伍							
伎							
伏							
伐							
休							
伒							
伕							
众							
伙							
会	會						㑹
伝	傳						
伯							
估							
伳							
伴							
伶							
伸							
伹							
伺							
伻							
似			佀				
伽							
伾							
佁							
佂							
佃							
但							
佇							
佈							
佉							
佋							
佌							
位							
低							仾
住							
佐							
佑							
佒							
体	體						躰軆骵
佔							
何							
佖							
佗							
佘							
余	餘余						
佚							
作							
佝							
佞							侫
佟							
你		伱		儞			
佤							
佩							
佪							
佬							
佮							
佯							
佰							
佳							
併	倂						
佶							
佷							
佸							
佹							
佺							
佻							
佼							
佽							
佾							
使							
侀							
侁							
侂							
侃							
侅							
侈							
侉							
侊							
例							
侍							
侏							
侐				伵			
侑							
侒							
侓							
侔							
侖							
侗							
侘							
侙							
侚							
供							
依							
侞							
価	價						
侮	侮						
侯			矦				
侲							
侵							
侶							
侷							
侹							
侻							
侼							
侾							
便			𠊳				
俀							
俁							
係							
促							
俄							
俅							
俆							
俇							
俉							
俊				㒞儁			
俋							
俌							
俍							
俎							爼
俏							
俐				悧			
俑							
俒							
俓							
俔							
俗							
俘							
俚							
俛							
俜							
保							
俟					竢		
俠							侠
信					訫		
俣				㑨			
俤							
俥							
修					俢		
俯							
俰							
俱							倶
俳							
俴							
俵							
俶							
俸							
俺							
俽							
俾							
俿							
倀							
倁							
倄							
倅							伜
倆							𠈓
倇							
倉							
個							
倌							
倍							
倎							
倏							倐
們							
倒							
倓							
倔							
倖							
倗							
倘							
候			𠊱				
倚							
倛							
倜							
倝							
倞							
借							
倡							
倢							
倣							
値							
倥							
倦					劵		
倧							
倨							
倩							
倪							
倫							
倬							
倭							
倮							
倰							
倲							
倳							
倵							
倹	儉						
倻							
偁							
偂							
偃							
偅							
偆							
偈							
偉							
偊							
偌							
偎							
偏							
偑							
偒							
偓							
偕							
偖							
偗							
偙				僀			
做							
停							
偟							
偠							
偢							
偣							
健							徤
偦							
偩							
偪							
偬		傯					倊
偭							
偯							
偰							
偱							
偲							
側							
偵							
偶							
偸							偷
偽	僞						
傀							
傁							
傃							
傄							
傅							
傆							
傈							
傊							
傍							
傎							
傏							
傐							
傑							杰
傒							
傓							
傔							
傕							
傖							
傘							仐
備			僃				偹
傚							俲
傛							
傞							
傟							
傠							
傢							
傣							
傪							
傫							
催							
傭							佣
傰							
傱							
傲				慠			
傴							
債							
傷							
傹							
傺							
傻				儍			
傽							
傾							
僂							
僄				徱			
僅							
僇							
僉							
僌							
働							
僎							
像				像			
僐							
僑							
僓							
僔							
僕			㒒				
僖							
僘							
僙							
僚							
僜							
僝							
僟							
僢							
僤							
僥							
僦							
僧	僧						
僨							
僩							僴
僭							僣
僮							
僯							
僳							
僵							
僶							
僺							
僻							
僾							
僿							
儀							
儂							
儃							
億					悥		
儆							
儇							
儈							
儋							
儌							
儐							
儒							
儔							俦
儕							㑪
儖							
儗							
儘							侭
儙							
儚							
儛							
儜							
儝							
償							
儡							
儣							
儦							
儨							
優							
儬							
儭							
儯							
儱							
儲							
儳							
儴							
儵							
儷							
儸							
儹							儧
儺							
儻							
儼							𠑊
兀							
允							
元							
兄							
充			充				
兆							
兇							
先							
光			灮		炗		炛
克							
兌							兊
免	免						
兎	兔			兔			
児	兒						
兓							
兕							
兗							兖
党	黨						
兜							兠
兟							
