親字	旧字	異体字
⺖		
⻂		
々		
〇		
ゝ		
㐂		
㐆		
㐬		
㑨		
㒼		
㓁		
㓇		
㓛		
㕝		
㕞		
㕣		
㕮		
㖦		
㖨		
㗅		
㗚		
㗴		
㙊		
㚖		
㚙		
㛏		
㝫		
㝵		
㞍		
㟨		
㟽		
㡀		
㡜		
㣺		
㤗		
㤚		
㥯		
㩮		
㩳		
㬎		
㬚		
㭭		
㭷		
㮇		
㮈		
㮶		
㰦		
㵤		
㸅		
㹠		
㹦		
㺔		
㽲		
㽷		
㾮		
㿉		
㿗		
䀹		
䁘		
䄅		
䅈		
䅏		
䅣		
䇦		
䇮		
䈇		
䈎		
䋆		
䋖		
䌂		
䍃		
䏰		
䐈		
䐗		
䐜		
䐢		
䑶		
䒑		
䒾		
䓔		
䔈		
䗥		
䗪		
䙁		
䙥		
䚡		
䚯		
䜌		
䧧		
䪼		
䯂		
䯊		
䯒		
䯨		
䰠		
䳑		
䴇		
一		弌
丁		
丂		
七		
万	萬万	
丈		𠀋
三		弎
上		丄
下		丅
丌		
不		
与	與	
丏		
丐		
丑		丒
且		
丕		
世		丗卋
丘		坵
丙		
丞		
丟		
両	兩	两
並	竝	傡
丨		
丩		
个		
丫		
丬		
中		
丮		
丯		
丰		
丱		
串		
丵		
丶		
丸		
丹		
主		
丼		
丿		
乀		
乁		
乂		
乃		
乄		〆
久		镹
乇		
么		
之		
乍		
乎		
乏		
乑		
乖		
乗	乘	椉
乙		
乚		
乜		
九		
乞		
也		
乢		
乣		
乩		
乱	亂	
乳		
乴		
乵		
乾		乹
亀	龜	
亅		
了		
予	予豫	
争	爭	
事		亊叓
二		弍
亍		
于		
云		
互		
五		
井		
亘		
亙		
些		
亜	亞	
亟		
亠		
亡		兦
亢		
交		
亥		
亦		
亨		
享		亯
京		亰
亭		
亮		
亳		
亶		
亹		
人		
亻		
亼		
什		
仁		忈
仂		
仃		
仄		
仆		
仇		
仈		
今		
介		
仍		
仏	佛	
仐		
仔		
仕		
他		
仗		
付		
仙		
仚		
仛		
仝		
仞		仭
仟		
仠		
仡		
仢		
代		
令		
以		㠯
仨		
仫		
仮	假	
仯		
仰		
仱		
仲		
仳		
仵		
件		
价		
任		
份		
仿		
伀		
企		
伃		
伈		
伉		
伊		
伋		
伌		
伍		
伎		
伏		
伐		傠
休		
伒		
伕		
众		
伙		
会	會	
伝	傳	
伮		
伯		
估		
伳		
伴		
伶		
伸		
伹		
伺		
伻		
似		佀
伽		
伾		
佂		
佃		
但		
佇		
佈		
佉		
佋		
佌		
位		
低		仾
住		
佐		
佑		
佒		
体	體体	躰軆骵
佔		
何		
佖		
佗		
佘		
余	余餘	
佚		
作		
佝		
佞		侫
佟		
佣		
佤		
佩		
佪		
佬		
佮		
佯		
佰		
佳		
併	倂	
佶		
佷		
佸		
佹		
佺		
佻		
佼		
佽		
佾		
使		
侁		
侂		
侃		
侄		
侅		
侈		
侉		
侊		
例		
侍		
侏		
侐		伵
侑		
侒		
侓		
侔		
侖		
侗		
侘		
侙		
侚		
供		
依		
侞		
侟		
価	價	
侮	侮	
侯		矦
侲		
侵		
侶		
侷		
侹		
侻		
侼		
侾		
便		
