親字	異体字
万	萬
与	與
乗	乘
争	爭
亘	亙
亜	亞
仏	佛
伝	傳
価	價
侮	侮
倹	儉
偽	僞
僧	僧
児	兒
円	圓
凜	凛
剣	劍
剰	剩
勉	勉
勤	勤
勲	勳
卑	卑
単	單
即	卽
厳	嚴
収	收
叙	敍
嘆	嘆
器	器
団	團
国	國
圏	圈
園	薗
塁	壘
増	增
墨	墨
壊	壞
壮	壯
売	賣
奥	奧
奨	奬
嬢	孃
実	實
富	冨
寛	寬
寝	寢
寿	壽
専	專
将	將
尭	堯
尽	盡
層	層
峡	峽
峰	峯
島	嶋
巌	巖
巣	巢
巻	卷
帯	帶
庁	廳
広	廣
廊	廊
弥	彌
弾	彈
従	從
徳	德
徴	徵
応	應
恒	恆
恵	惠
悔	悔
悪	惡
慎	愼
憎	憎
懐	懷
懲	懲
戦	戰
戯	戲
払	拂
抜	拔
拝	拜
捜	搜
掲	揭
揺	搖
摂	攝
撃	擊
敏	敏
斉	齊
昼	晝
晃	晄
晩	晚
暁	曉
暑	暑
暦	曆
曽	曾
朗	朗
条	條
来	來
杯	盃
栄	榮
桜	櫻
桧	檜
梅	梅
検	檢
楽	樂
様	樣
槙	槇
横	橫
欄	欄
歩	步
歴	歷
毎	每
気	氣
浄	淨
海	海
涙	淚
涼	凉
渇	渴
渉	涉
渋	澁
渚	渚
温	溫
湿	濕
滝	瀧
滞	滯
漢	漢
瀬	瀨
灯	燈
為	爲
焼	燒
煮	煮
状	狀
狭	狹
猪	猪
獣	獸
琢	琢
畳	疊
痩	瘦
盗	盜
県	縣
真	眞
砕	碎
碑	碑
礼	禮
社	社
祈	祈
祉	祉
祐	祐
祖	祖
祝	祝
神	神
祢	禰
祥	祥
祷	禱
禄	祿
禅	禪
禍	禍
禎	禎
福	福
秘	祕
稲	稻
穀	穀
穂	穗
穣	穰
突	突
竜	龍
節	節
粋	粹
緑	綠
緒	緖
練	練
縁	緣
縦	縱
繁	繁
繊	纖
署	署
翻	飜
者	者
聴	聽
臓	臟
臭	臭
芸	藝
荘	莊
萌	萠
著	著
蔵	藏
薫	薰
薬	藥
虚	虛
虜	虜
衛	衞
装	裝
視	視
覧	覽
諸	諸
謁	謁
謡	謠
謹	謹
譲	讓
賓	賓
贈	贈
転	轉
逸	逸
遥	遙
郎	郞
都	都
酔	醉
醸	釀
野	埜
鋳	鑄
錬	鍊
録	錄
鎮	鎭
陥	陷
険	險
雑	雜
難	難
静	靜
響	響
頼	賴
顕	顯
類	類
駆	駈
騒	騷
験	驗
髪	髮
鶏	鷄
黄	黃
黒	黑
黙	默
