親字	旧字	異体字
一		
丁		
七		
万	萬	
丈		
三		
上		
下		
不		
与	與	
丐		
丑		
且		
丕		
世		
丘		
丙		
丞		
両	兩	
並	竝	
丫		
中		
丱		
串		
丸		
丹		
主		
丼		
乂		
乃		
久		
之		
乍		
乎		
乏		
乖		
乗	乘	
乙		
九		
乞		
也		
乱	亂	
乳		
乾		
亀	龜	
了		
予	豫	予
争	爭	
事		
二		
于		
云		
互		
五		
井		
亘		
亙		
些		
亜	亞	
亟		
亡		
亢		
交		
亥		
亦		
亨		
享		
京		
亭		
亮		
亶		
人		
什		
仁		
仂		
仄		
仆		
仇		
今		
介		
仍		
仏	佛	
仔		
仕		
他		
仗		
付		
仙		
仞		仭
仟		
代		
令		
以		
仮	假	
仰		
仲		
件		
价		
任		
企		
伉		
伊		
伍		
伎		
伏		
伐		
休		
会	會	
伝	傳	
伯		
估		
伴		
伶		
伸		
伺		
似		
伽		
佃		
但		
佇		
位		
低		
住		
佐		
佑		
体	體	
何		
佗		
余	餘	余
佚		
作		
佝		
佞		
佩		
佯		
佰		
佳		
併	倂	
佶		
佻		
佼		
使		
侃		
侈		
例		
侍		
侏		
侑		
侖		
侘		
供		
依		
価	價	
侮	侮	
侯		
侵		
侶		
便		
係		
促		
俄		
俊		
俎		
俐		
俑		
俔		
俗		
俘		
俚		
俛		
保		
俟		
俠		侠
信		
俣		
俤		
俥		
修		
俯		
俱		倶
俳		
俵		
俶		
俸		
俺		
俾		
倅		伜
倆		
倉		
個		
倍		
倏		
們		
倒		
倔		
倖		
候		
倚		
借		
倡		
倣		
値		
倥		
倦		
倨		
倩		
倪		
倫		
倬		
倭		
倹	儉	
偃		
偈		
偉		
偏		
偐		
偓		
偕		
偖		
做		
停		
健		
偬		
偲		
側		
偵		
偶		
偸		
偽	僞	
傀		
傅		
傍		
傑		
傘		
備		
傚		
催		
傭		
傲		
傴		
債		
傷		
傾		
僂		
僅		
僉		
僊		
働		
像		
僑		
僕		
僖		
僚		
僥		
僧	僧	
僭		僣
僮		
僵		
僻		
儀		
儁		
儂		
億		
儒		
儔		
儕		
儘		
儚		
償		
儡		
優		
儲		
儳		
儷		
儺		
儻		
儼		
兀		
允		
元		
兄		
充	充	
兆		
兇		
先		
光		
克		
兌		
免	免	
兎		兔兔
児	兒	
党	黨	
兜		
兢		
入		
全		
