親字	同	简化字	类推简化字	讹字	通
㐁	䑙𠀬𦧖󰧞				
㐆	𡰴󰕬				
㐌					
㐖					
㐤					
㐨					
㐩					
㐲					
㐳					
㐸					
㐺					
㐻					
㑉					
㑊					
㑋	𩅯				
㑌					
㑍					
㑎					
㑐					
㑗					
㑙					
㑚					
㑛					
㑜					
㑟					
㑣					
㑥					
㑦					
㑮					
㑯					
㑳	𠋢󰘊	㑇			
㑶					
㑸					
㑻					
㑼					
㑾					
㑿					
㒀					
㒁					
㒂					
㒄	㦓				
㒅					
㒇					
㒈					
㒊					
㒍					
㒎					
㒑					
㒓	㣵达		𠉂	𠋽	
㒔					
㒕					
㒙					
㒚	𨆲				
㒛					
㒜					
㒝					
㒟	㜵				
㒠	𠏪				
㒡					
㒤					
㒥	僼				
㒦					
㒲					
㒴					
㒸					
㒼					
㒽	𦋓				
㒾				𦋤	
㒿			𰖩		
㓃	詫𨶃				
㓄					
㓅					
㓈					
㓉					
㓊					
㓋					
㓌					
㓎	𠖶				
㓏					
㓐					
㓑					
㓓					
㓖			𰃻		
㓘					
㓚					
㓞	𠛉𢩬𫼔			𠛃	
㓟	𤿇				
㓠					
㓡	𠛺				
㓢	㪾				
㓣	𠜪𠜼𠞞				
㓤	𠝛				
㓦					
㓧					
㓩					
㓱	𠞼𣂮				
㓲					
㓳					
㓴	𠟺				
㓶					
㓹					
㓺					
㓼	㔑剟𠜀𠞩𠞻𰄯󰱬			𠛨𠝱𠞘𠟴	
㓽					
㓾	𠞂				
㔁					
㔂					
㔃					
㔄					
㔅			𫦅		
㔆	𠟆				
㔊					
㔋			𪟎		
㔌	𠟕				
㔍	𠟬𠠀𣃍				
㔎					
㔏					
㔒					
㔕					
㔗	𠡂				
㔙	奟𠡮				
㔝					
㔞					
㔠					
㔡	𠢒				
㔢					
㔣	𠢿𣀜				
㔤					
㔥					
㔦					
㔨					
㔩	𠤅𩇠				
㔪					
㔮					
㔴					
㔵					
㔶					
㔷	𠥮				
㔸	𠥃𠥶				
㔹					
㔾					
㔿					
㕂					
㕃					
㕄					
㕅					
㕆					
㕇	砬				
㕈					
㕉					
㕊					
㕋	㕂				
㕌					
㕎					
㕐					
㕒	嶬		𰆕		
㕙				𠬍	
㕚					
㕢			𰇀	𠭸	
㕣	𧮲				
㕦					
㕧	𣢂				
㕨					
㕩					
㕪					
㕫					
㕬					
㕭					
㕮	哺				
㕰					
