親字	旧字	本字	古字	別体	俗字	誤字
⾆		𠯑				
㐂						
㐬			𡿮			
㒼						
㓇						
㓞						
㔩						
㕞						
㕣						
㕮						
㖃						
㖦						
㖨						
㗅						
㗚						
㗴						
㙊						
㙺						
㚆		𡕨		复		
㚖						
㚙						
㛏						
㝵		䙷				
㟨						
㟽						
㡀						
㡜						
㣇						
㣻						
㤚						
㥯						
㦰						
㨽						
㩮						
㩳						
㫃						
㫲						
㫼						
㬚						
㭭						
㭷						
㮇						
㰦						
㵎				礀	澗	
㵤						
㷠					粦	
㸅						
㹜				犾		
㹦						
㺔						
㽲						
㽷						
㾫						
㾮						
㿉				㿗		
䀠				眗		
䀹						
䁘						
䁾						
䄅						
䅈						
䅣						
䇦						
䇮						
䈎						
䊊				䅏		
䋖						
䌂						
䍃						
䏰						
䐈						
䐜						
䐢						
䑶						
䒾						
䓔						
䔈						
䗥						
䗪		𧐚				
䗳						
䙁						
䙅						
䙥						
䙰						
䚕						
䚡						
䚯						
䜌						
䧢					𨸟	
䧧						
䩬						
䪡				齏𧆌	虀韲	
䪼						
䬒				颼		
䯂						
䯊						
䯒						
䰠						
䳑						
䴇						
䵝						
一			弌			
丁						
丂						
七						
万	万萬					
丈					𠀋	
三			弎			
上						
下						
不						
与	與					
丏						
丐						
丑					丒	
且						
丕						
世			丗		卋	
丘				㐀坵		
丙						
丞					氶	
両	兩			㒳		
並	竝			並		
丨						
丩						
个						
丫						
中						
丮						
丯						
丰						
丱		卝				
串						
丶						
丸		𠁽				
丹						
主						
丼						
丿						
乀						
乂						
乃						
乄						
久				镹	乆	
乇						
之						
乍						
乎						
乏						
乑						
乖						
乗	乘					
乙						
九						
乞						
也						
乢						
乱	亂					
乳						
乾					乹	
亀	龜	龜				
亅						
了						
予	予豫					
争	爭					
事			㕝叓		亊	
二			弍			
亍						
于		亏		亐		
云						
互						
五						
井						
亘						
亙						
些						
亜	亞					
亟				焏		
亠						
亡		兦				亾
亢						
交						
亥						
亦						
亨			亯			
享						
京					亰	
亭					𠅘	
亮					𠅙	
亳						
亶						
亹						
人						
什						
仁						
仂						
仃						
仄						
仆						
仇						
仈						
今					𫝆	
介						
仍						
仏	佛					
仔						
仕						
他						
仗						
付						
仙						
仚						
仞					仭	
仟						
仡		㐹				
代						
令						
以			㠯			
仫						
仮	假					
仰						
仱						
仲						
仳						
仵						
件						
价						
任						
份						
仿						
伀						
企						
伃						
伈						
伉						
伊						
伋						
伍						
伎						
伏						
伐						
休						
会	會				㑹	
伝	傳					
伯						
估						
伴						
伶						
伸						
伺						
伻						
似			佀			
伽						
伾						
佃						
但						
佇				竚		
佈						
佉						
佌						
位						
低						
住						
佐						
佑						
体	体體				躰軆	
佔						
何						
佖						
佗						
佘						
余	余餘					
佚						
作						
佝						
佞						侫
佟						
佤						
佩					𬽳	
佪						
佬						
佯						
佰						
佳						
併	倂					
佶						
佸		𠈲				
佹						
佺						
佻						
佼						
佽						
佾						
使			𠉕			
侀						
侃			𠈉	偘		
侅						
侈						
侊						
例						
侍						
侏						
侐						
侑						
侒						
侔						
侖						
侗						
侘						
供						
依						
価	價					
侮	侮					
侯			𥎦	矦		
侲						
侵						
侶						
侾						
便		𠊳				
俁						
係						
促						
俄						
俅						
俇						
俉						
俊						
俋						
俎					爼	
俏						
俐				悧		
俑						
俒						
俔						
俗						
俘						
俚						
俛						
保						
俟						
俠					侠	
信						
俣					㑨	
俤						
俥						
修						
俯						
俱					倶	
俳						
俵						
俶						
俸						
俺						
俾						
倀						
倁						
倅					伜	
倆					𠈓	
倉						
個						
倍			俖			
倎						
倏					倐	
們						
倒						
倓						
倔						
倖						
倘						
候				𠊱		
倚					𠋣	
倛						
倜						
倝						
倞						
借						
倡						
倢						
倣						
値						
倥						
倦						
倧						
倨						
倩						
倪						
倫						
倬						
倭						
倮						
倹	儉					
倻						
偁						
偃						
偆						
偈						
偉						
偊						
偎						
偏						
偐						
偓						
偕						
偖						
偗						
做						
停						
偣						
健					徤	
偦						
偪						
偭						
偯						
偰						
偲						
側						
偵						
偶						
偸					偷	
偽	僞					
傀						
傅						
傈						
傍						
傑					杰	
傒						
傓						
傔						
傕						
傖						
傘				𠍘	仐	
備		僃			偹	
傚					俲	
傞						
傣						
傪						
催						
傭						
傯				偬	倊	
傱						
傲				慠		
傴				𤹪		
債						
傷						
傺						
傻						
傾						
僂					偻	
僄						
僅						
僉					㑒	
僊				僲		
僌						
働						
僎						
像					像	
僐						
僑						
僔						
僕			䑑	㒒		
僖						
僙						
僚						
僛						
僥						
僦						
僧	僧					
僨						
僩					僴	
僭						僣
僮						
僳						
僵						
僶						
僻						
儀						
儁				㒞		
儂						
儃						
億						
儆						
儇						
儈						
儋						
儌						
儐				𭀀		
儒						
儔			𠍻		俦	
儕					㑪	
儖						
儗						
儘					侭	
儚				𠐧		
儜						
儞					你	
償						
儡						
儦						
優						
儲						
儳						
儵						
儷						
儺						
儻					傥	
儼					𠑊	
儿						
兀						
允			㽙			
元						
兄						
充		充				
兆				𠧞		
兇						
先						
光		灮	炗			
克						
兌					兊	
免	免					
児	兒		𠒆			
兓						
兕		𧰽			𤉡	
兗					兖	
党	党黨					
兜					兠	
兟						
兢						
入						
全			㒰			
兪					俞	
八						
公						
六						
兮					𠔃	
共						
兵						
其			丌	亓		
具						
典						
兼					𠔥	
冀		冀		兾		
冂			冋			
冃						
内	內					
円	圓				圎	
冉		冄				
冊		𠕋	笧	册𠕁		
再		再				
冎				叧		
冑						
冒					冐	
冓						
冔				𦀒		
冕						
冖						
冗		宂			冗	
冘						
写	寫			冩	𭂁	
冠						
冡						
冢		𠣥				
冤					寃寃	
冥					㝠	
冪		幂		羃		
冫						
冬	冬					
冱					𠖱	
冴						
冶						
冷						
冸						
冼						
冽						
凄						
凅						
准						
凊						
凋						
凌						
凍						
凓						
凔						
凘						
凜				澟𠘡	凛	
凝						
几						
凡					凢	
処	處				䖏	
凧						
凩						
凪						
凭					凴	
凰						
凱						
凳						
凵						
凶				𣧑		
凸						
凹						
出						岀
函		圅			凾	
刀		𠚣		釖		
刁						
刃					刄	
分						
切						切
刈			𠛄		苅	
刊						
刋						
刎						
刑		𠛬		㓝		
划						
刓				㝴		
刔						
刕						
刖						
列						
刜						
初						
判						
別		𠛰				
利			𥝤			
刪				删𠜂		
刮		𠜜				
到						
刱					剏剙	
刲				𠝥		
刳						
刵						
制						
刷						
券						
刹		㓼		剎		
刺						
刻						
剃		鬀				
剄						
則			𠟭			
剉						
削						
剋		勀		勊	尅	
剌						
前		𣦃	歬		偂	
剔			𠜓			
剕						
剖						
剗						
剚				倳	𨧫	
剛					㓻	
剜				𠛠		
剝					剥	
剞						
剟						
剡						
剣	劍		劒	釼𠝏	剱劔	
剤	劑					
剪						
剬						
副						
剰	剩					
割	割					
剴						
創		刅	戧	𠟐		
剷						
剸						
剽						
劂		𠜾				
劃				劐		
劇		勮				
劈						
劉						
劓				㓷		
劕						
劘						
力						
功					㓛	
加						
劣						
劤						
劦						
助						
努						
劫					刦刧	
劬						
劭						
劯						
励	勵					
労	勞					
劵						
効	效					
劺						
劻						
劼						
劾						
勁					𠡍	
勃						
勅	敕					
勇	勇		恿	勈		
勉	勉					
勌						
勍						
勑						
勒						
勔						
動						
勖					勗	
勘						
務						
勝						
募						
勠						
勢					㔟	
勣						
勤	勤					
勦						
勧	勸					
勩						
勰						
勲	勳		勛			
勷						
勹						
勻					匀	
勾						
勿						
匁						
匂						
匃				匄		
包						
匆		囪		匇匆		
匈						
匊						
匋						
匍						
匏				瓟		
匐						
匕						
化						
北						
匙						
匚						
匜						
匠						
匡						
匣						
匤						
匪						
匭						
匯					滙	
匱						
匳		籢			匲奩	
匵						
匸						
匹						
区	區					
医	醫			毉		
匼						
匽						
匾						
匿						
十						
卂						
千						
卅		𠦃				
升						
午						
卉		芔		卉		
半						
卍						
卑	卑				𤰞	
卒		䘚			卆	
卓				桌		
協			叶	恊旪		
南						
単	單					
博					愽	
卜						
卞						
卟				乩		
占						
卡						
卣			𠧪			
卦						
卩						
卬						
卮					巵	
卯		戼			夘	
印						
危						
卲						
即	卽					
却		卻				㕁
卵						
卸						缷
卿				卿		
厂						
厄						𢀴
厎						
厓						
厖				庬		
厘						
厚			㫗			
厝						
原		厡				
厤						
厥						
厭				猒		
厲					厉	
厳	嚴					
厴						
厶						
去		厺				
叀						
参	參				叅	
又						
叉						
及						
友						
双	雙					
反						
収	收					
叔					𠦑	
叕						
取						
受						
叙	敍			敘		
叚						
叛						
叟		叜				
叡			睿			
叢					樷藂	
口						
古						
句						
另						
叨						
叩						
只						
叫						呌
召						
叭						
叮						
可						
台	台臺				䑓	
叱						
史		㕜				
右						
叴						
叵						
号	號				𭈹	
司						
叺						
吁						
吃		𠯏				
各						
合						
吉					𠮷	
吊						
吋						
同					仝	
名						
后						
吏						
吐						
向						
君						
吝					㖁	
吞						呑
吟				訡		
吠						
吤						
否						
吧						
吨						
吩						
吪						
含						
听						
吭						
吮						
吶						
吸						
吹				龡		
吻				䐇	脗	
吼						
吽						
吾						
呀						
呂						
呃						
呆						
呈						
呉	吳				吴	
告	吿					
呍						
呎						
呏						
呟						
呢						
呦						
周	周					
呪					咒	
呫						
呬						
呰						
呱						
味						
呴		欨				
呵						
呶						
呷						
呻						
呼						
命						
呿						
咀						
咄						
咅						
咆						
咈						
咋						
和		咊	龢			
咍						
咎						
咐						
咕						
咖						
咠						
咡						
咢		㖾				
咤		吒			咜	
咥						
咦						
咨						
咩						
咫						
咬						
咭						
咮						
咯						
咲						
咳						
咷						
咸						
咺						
咻						
咼						
咽						
咾						
咿						
哀						
品						
哂						
哃						
哄						
哆						
哇						
哈						
哉						
哘						
員					貟	
哢						
哥						
哦						
哨						
哩						
哬						
哭						
哮						
哯						
哱						
哲				喆嚞悊	啠	
哳						
哺						
哽						
哿						
唀						
唁						
唄						
唆						
唇		脣				
唉						
唎						
唏						
唐						
唔						
唫						
唬						
售						
唯						
唱						
唳						
唵						
唶						
唸						
唹						
唼				啑		
唾						
啀				嘊		
啁						
啄						
啅						
商						
啇						
啊						
啌						
啍						
啎					牾	
問						
啐						
啓					啔	
啖				啗嚪		㗖
啜						
