常用國字標準字體表	次常用國字標準字體表	罕用國字標準字體表	新增正字
一			
丁			
七			
三			
下			
丈			
上			
丑			
丐			
不			
丙			
世			
丕			
且			
丘			
丞			
丟			
並			
丫			
中			
串			
丸			
凡			
丹			
主			
乃			
久			
么			
之			
尹			
乍			
乏			
乎			
乒			
乓			
乖			
乘			
乙			
九			
也			
乞			
乩			
乳			
乾			
亂			
了			
予			
事			
二			
于			
云			
井			
互			
五			
亙			
些			
亞			
亟			
亡			
交			
亦			
亥			
亨			
享			
京			
亭			
亮			
人			
仁			
什			
仃			
仆			
仇			
仍			
今			
介			
仄			
以			
付			
仔			
仕			
他			
仗			
代			
令			
仙			
仞			
仿			
伉			
伙			
伊			
伕			
伍			
伐			
休			
伏			
仲			
件			
任			
仰			
仳			
份			
企			
位			
住			
佇			
佗			
佞			
伴			
佛			
何			
估			
佐			
佑			
伽			
伺			
伸			
佃			
佔			
似			
但			
佣			
作			
你			
伯			
低			
伶			
余			
佝			
佯			
依			
侍			
佳			
使			
佬			
供			
例			
來			
侃			
佰			
併			
侈			
佩			
佻			
侖			
佾			
侏			
信			
侵			
侯			
便			
俠			
俑			
俏			
保			
促			
侶			
俘			
俟			
俊			
俗			
侮			
俐			
俄			
係			
俚			
俎			
俞			
倌			
倍			
倣			
俯			
倦			
倥			
俸			
倩			
倖			
倆			
值			
借			
倚			
倒			
們			
俺			
倀			
倔			
倨			
俱			
倡			
個			
候			
倘			
俳			
修			
倭			
倪			
俾			
倫			
倉			
偺			
偽			
停			
假			
偃			
偌			
做			
偉			
健			
偶			
偎			
偕			
偵			
側			
偷			
偏			
倏			
傢			
傍			
傅			
備			
傑			
傀			
傖			
傘			
傭			
債			
傲			
傳			
僅			
傾			
催			
傷			
傻			
傯			
僧			
僮			
僥			
僖			
僭			
僚			
僕			
像			
僑			
僱			
億			
儀			
僻			
僵			
價			
儂			
儈			
儉			
儒			
儘			
儔			
儐			
優			
償			
儡			
儲			
儷			
儼			
兀			
元			
允			
充			
兄			
光			
兇			
兆			
先			
兌			
克			
兕			
免			
兔			
兒			
兗			
兜			
兢			
入			
內			
全			
兩			
八			
六			
兮			
公			
共			
兵			
具			
其			
典			
兼			
冀			
冉			
冊			
再			
冒			
冑			
冕			
最			
冗			
冠			
冤			
冥			
冢			
冬			
冰			
冶			
冷			
冽			
