10級	9級	8級	7級	6級	5級	4級	3級	準2級	2級	準1級	1級
音											
青											
雨											
金											
車											
足											
赤											
貝											
見											
虫											
草											
花											
耳											
糸											
竹											
立											
空											
石											
目											
百											
白											
町											
男											
田											
生											
王											
玉											
犬											
火											
水											
気											
正											
森											
校											
林											
村											
本											
木											
月											
早											
日											
文											
手											
年											
左											
川											
山											
小											
学											
字											
子											
女											
天											
大											
夕											
土											
四											
名											
右											
口											
千											
十											
力											
出											
円											
六											
八											
入											
先											
休											
人											
五											
二											
九											
中											
下											
上											
三											
七											
一											
	黒										
	黄										
	麦										
	鳴										
	鳥										
	魚										
	高										
	馬										
	首										
	食										
	風										
	顔										
	頭										
	電										
	雲										
	雪										
	間										
	門										
	長										
	野										
	里										
	遠										
	道										
	週										
	通										
	近										
	走										
	買										
	谷										
	読										
	語										
	話										
	記										
	計										
	言										
	角										
	親										
	西										
	行										
	茶										
	色										
	船										
	自										
	肉										
	聞										
	考										
	羽										
	線										
	絵										
	組										
	細										
	紙										
	米										
	算										
	答										
	科										
	秋										
	社										
	知										
	矢										
	直										
	番										
	画										
	用										
	理										
	牛										
	父										
	点										
	海										
	活										
	汽										
	池										
	毛										
	毎										
	母										
	歩										
	止										
	歌										
	楽										
	東										
	来										
	朝										
	書										
	曜										
	晴										
	時										
	昼										
	春										
	星										
	明										
	方										
	新										
	数										
	教										
	才										
	戸										
	思										
	心										
	後										
	形										
	当										
	強										
	弱										
	弟										
	引										
	弓										
	店										
	広										
	帰										
	市										
	工										
	岩										
	少										
	寺										
	家										
	室										
	姉										
	妹										
	太										
	夜										
	多										
	外										
	夏										
	売										
	声										
	場										
	地										
	園										
	国										
	図										
	回										
	同										
	合										
	台										
	古										
	友										
	原										
	南										
	半										
	午										
	北										
	前										
	切										
	分										
	刀										
	冬										
	内										
	公										
	光										
	兄										
	元										
	作										
	何										
	体										
	会										
	今										
	京										
	交										
	丸										
	万										
		鼻									
		駅									
		館									
		飲									
		題									
		面									
		集									
		階									
		陽									
		院									
		開									
		銀									
		鉄									
		重									
		酒									
		配									
		都									
		部									
		運									
		遊									
		進									
		速									
		送									
		追									
		返									
		農									
		軽									
		転									
		身									
		路									
		起									
		負									
		豆									
		談									
		調									
		詩									
		表									
		血									
		薬									
		葉									
		落									
		荷									
		苦									
		育									
		者									
		習									
		美									
		羊									
		練									
		緑									
		終									
		級									
		箱									
		等									
		筆									
		第									
		笛									
		童									
		章									
		究									
		秒									
		福									
		祭									
		神									
		礼									
		研									
		短									
		着									
		真									
		県									
		相									
		皿									
		皮									
		登									
		発									
		病									
		畑									
		界									
		申									
		由									
		球									
		物									
		炭									
		漢									
		湯									
		湖									
		港									
		温									
		深									
		消									
		流									
		洋									
		泳									
		注									
		波									
		油									
		決									
		氷									
		死									
		歯									
		次									
		橋									
		横									
		様									
		業									
		植									
		根									
		柱									
		板									
		期									
		服									
		有									
		曲									
		暗									
		暑									
		昭									
		昔									
		族									
		旅									
		整									
		放									
		指									
		持									
		拾									
		投									
		打									
		所									
		感									
		意									
		想									
		悲									
		悪									
		息									
		急									
		待									
		役									
		式									
		庭									
		庫									
		度									
		幸									
		平									
		帳									
		州									
		島									
		岸									
		屋									
		局									
		対									
		寒									
		宿									
		宮									
		客									
		実									
		定									
		安									
		守									
		委									
		始									
		央									
		坂									
		問									
		商									
		員									
		品									
		和									
		命									
		味									
		君									
		向									
		号									
		受									
		取									
		反									
		去									
		医									
		区									
		化									
		勝									
		動									
		勉									
		助									
		列									
		写									
		具									
		全									
		倍									
		係									
		使									
		住									
		代									
		他									
		仕									
		事									
		予									
		乗									
		主									
		両									
		世									
		丁									
			鹿								
			験								
			香								
			養								
			飯								
			飛								
			類								
			願								
			順								
			静								
			隊								
			陸								
			阪								
			阜								
			関								
			鏡								
			録								
			量								
			郡								
			選								
			達								
			連								
			辺								
			辞								
