重複	親字	旧字	正字	本字	同字	古字	簡易	俗字
	〆				乄			
	㸅							㦢
	㿉				㿗			
	䧢							𨸟
	䳄				鴜			
	一					弌		
	万	萬						
	丈							𠀋
	三					弎		
	上			丄				
	下			丅				
	与	與						
	丑							丒
	世					卋		
	丘							坵
	丞							氶
	両	兩						两
	並	竝			傡並			
	丱			卝				
	乗	乘		椉				
	乱	亂						
	乾							乹
	亀	龜		龜	龜			
!	予	豫						
	争	爭						
	事					㕝叓		亊
	二					弍		
	于			亏				
	亜	亞						
	亟				焏			
	亡			兦				
	交				胶			
	享					亯		
	京							亰
	亭							𠅘
	亮							𠅙
	人					儿		
	今							𫝆
	仏	佛						
	仙				僊			僲
	仞							仭
	以			㠯				
	仮	假						
	伃				妤			
	会	會						㑹
	伝	傳						
	似			佀				
	低							仾
	体	體						躰軆骵
!	余	餘						
	佞							侫
	你		伱		儞			
	併	倂						
	侐				伵			
	価	價						
	侮	侮						
	侯			矦				
	便			𠊳				
	俊				㒞儁			
	俎							爼
	俐				悧			
	俟					竢		
	俠							侠
	信					訫		
	俣				㑨			
	修					俢		
	俱							倶
	倅							伜
	倆							𠈓
	倏							倐
	候			𠊱				
	倦					劵		
	倹	儉						
	偙				僀			
	健							徤
	偬		傯					倊
	偸							偷
	偽	僞						
	傑							杰
	傘							仐
	備			僃				偹
	傚							俲
	傭							佣
	傲				慠			
	傻				儍			
	僄				徱			
	像				像			
	僕			㒒				
	僧	僧						
	僩							僴
	僭							僣
	億					悥		
	儔							俦
	儕							㑪
	儘							侭
	儹							儧
	儼							𠑊
	充			充				
	光			灮		炗		炛
	兌							兊
	免	免						
	兎	兔			兔			
	児	兒						
	兗							兖
	党	黨						
	兜							兠
	兪							俞
	兮							𠔃
	典				敟			
	兼							𠔥
	冀			冀	兾			
	内	內						
	円	圓						圎
	冉				冄			
	冊		𠕋		册			
	冎				剮			
	冏			囧				
	冒							冐
	冗		宂					
	写	寫						冩
	冤							寃
	冥							㝠
	冪							羃
	冬	冬						
	凜							凛
	凡							凢
	処	處						䖏处
	凭				凴			
	凳				櫈			
	出							岀
	函			圅				凾
	刀				釖			
	刃							刄
	切							切
	刈							苅
	刊							刋
	刑			𠛬				
	刪		𠜂		删			
	刱							剏剙
	剋							尅
	前					歬		
	剛							㓻
	剝				剥			
	剣	劍			劒			剱劔釼𠝏
	剤	劑						
	剪		翦					
	剰	剩						
	割	割						
	創					戧		
	剿				劋𠞰			
	劄				箚			剳
	劉							刘
	功							㓛
	努				伮			
	劫							刦刧刼
	励	勵						
	労	勞						
	効	效						
	勀							勊
	勅	敕						
	勇	勇			勈			
	勉	勉						
	勖				勗			
	勢							㔟
	勤	勤						
	勧	勸						
	勲	勳				勛		
	勺	勺						
	匀		勻					
	匃				匄			
	包			勹				
	匆				匆			
	化					𠤎		
	匝			帀	迊			
	匠			匞				
	匡			匩				
	匯				滙			
	区	區						
	医	醫			毉			
	升							斘
	卉		卉	芔				
	卑	卑						𤰞
	卒							卆
	卓				桌			
	協				恊			
	単	單						
	博							愽
	卮							巵
	卯			戼				夘
	即	卽				皍		
	却		卻					㕁
	卸							缷
	卿				卿			
	厂					厈		
	厄							𢀴
	厚					㫗垕		
	原			厡				
	厨	廚						㕑橱
	厩	廏						廐
	厲							厉
	厳	嚴						
	去			厺				
	参	參						叅
	双	雙						
	収	收						
	叔							𠦑
	叙	敍						敘
	叟			叜				
	叡				𠮉	壡睿		
	叢				樷			
!	台	臺				坮		䑓
	史			㕜				
	号	號						𭈹
	吉							𠮷
	同					仝		
	吝							㖁
	吞				呑			
	吟				訡			
	呉	吳						吴
	告	吿						
	周	周						
	呪				咒			
	和			咊		龢		
	咤			吒				咜
	咩				哶			
	咼				喎			
	員							貟
	哲				喆悊	嚞		啠
	唇		脣					
	唱				誯			
	啀				嘊			
	啎				牾			
	啓			启啟	諬			啔
	啖				啗嚪			
	啞						唖	
	善					譱		
	喉			㗋				
	喜					歖		㐂
	喝	喝						
	喩							喻
	喪							䘮
	喫							噄
	営	營						营
	嗅			齅				
	嗜					呩		
	嗢							嗢
	嗥							嘷噑
	嘆	嘆						
	嘔							呕
	嘗							甞
	嘩		譁					𠵅
	嘯							嘨
	嘱	囑						
	噓							嘘
	器	器						噐
	噴	噴						
	嚏		嚔					
	嚙						噛	
	嚳				俈			
	囂				嚻			
	囊							嚢
	四					亖		
	回					囘		囬
	囟				𩕄	顖		
	因							囙
	団	團						
	囲	圍						
	図	圖						圗
	国	國			圀	囶		囯
	圏	圈						
	園				薗			
	圝							圞
	土							圡𡈽
	圦				𣱿			
	圧	壓						压
	坌				坋			
	坎				埳			
	坐							㘴
	坤				堃			
	坰							垧
	垂							埀
	垔				陻			
	垜				垛			
	埋					薶		
	城	城						
	埒							埓
	埠				埗			
	埣							𡉻
	埼				碕			𥔎
	堆			𠂤				
	堕	墮			𡐦𫻃			
	堡				堢			
	堤				埞			
	堰				隁			
	場							塲
	塀	塀						
	塁	壘						
	塍				畻			
	塑				塐			
	塔				墖			
	塚	塚						
	塡							填
	塢				隖			
	塩	鹽						𦣪
	塵					尘		
	塹				壍𡐛			
	墉				牅			
	墌				坧			
	墍				𡏲			
	増	增						
	墨	墨						
	墩				墪			
	墳	墳						
	壅				㙲			
	壊	壞						
	壌	壤						
	壎				塤			
	壗							𡋤
	壜				罎			
	壟				壠			
	壮	壯						
	声	聲						
	壱	壹						
	売	賣						
	壺				壷			
	変	變						
	夏			夓				
	夐			𢿌				
	夔				虁			
	多							夛
	夢			𡫺				夣梦
	夬			叏				
	奇							竒
	奈							㮈
	契	契						
	奓							偧
	奔	奔						
	奘							弉
	奥	奧						
	奨	奬		獎	㢡			
	奩		匳		籢			匲
	妊				姙			
	妙				玅			
	妝				娤𡝂			
	妬				妒			
	姉		姊					
	始					乨兘		
	姒				娰			
	姦				姧			
	姪							侄
	姫	姬						
	姸							妍
	姻					婣		
	娟							姢
	娯	娛						
	婀				娿			
	婁							娄
	婚				㛰			
	婦				媍			
	婿	壻						聟
	媼				媪			
	嫂			㛮				
	嫋							嬝
	嫐							娚
	嫩							嫰
	嫫				𡠜			
	嫺				嫻			
	嬢	孃						
	嬭							奶妳
	学	學				斅		斈
	孶							孳
	孼							孽
	宇					㝢		𡧃
	守				垨			
	宜			宐		𡪀		冝
	宝	寶				寚		寳
	実	實						实
	宿			㝛				
	寂			𡧯				𡨜
	寄							𭔃
	寇							冦宼𡨥
	富							冨
	寓				庽			
	寛	寬						
	寝	寢						
	察					詧		
	寧	寧				寍		
	審					宷		
	対	對						对
	寿	壽						夀
	専	專						
	将	將						
	尉				叞			
	尚	尙						
	尠			尟				
	尭	堯						
	尲				凲			尶
	尻							㞍
	尽	盡						
	届	屆						
	屎				宩			
	屓			屭				
	屛						屏	
	属	屬						
	屢							屡
	層	層						
	屧							屟
	屮				𠂇			
	岐					㟚		
	岡				堽			𦊆
	岪				𡶒			
	岭				岺			
	岳	嶽						
	岸							㟁屽𡶜
	峡	峽						
	峨				峩			
	峰				峯			
	峱				巎			
	島			㠀	嶋嶌嶹隯			陦
	崎				㟢			嵜﨑
	崑				崐			
	崖				崕			
	崙				崘			
	嵆				嵇			
	嵒				嵓			
	嵩				崧			
	嵯				嵳			
	嶄				嶃			
	嶇				岴			
	嶢				嶤			𡸳
	嶧							𡵸
	嶬				䧧			
	嶮							𡸴
	嶸				峵			
	巌	巖			巗			
	川			巛				
	巠							坙
	巡							廵
	巣	巢						
	左							㔫
	巷				衖			
	巹							卺
	巻	卷						
	巽	巽						
	帆				㠶䑺			
	帑				伖			
	帕				絈			
	帙				袠			
