重複	親字	旧字	異体字
	一		弌
!	万	萬	
	丈		𠀋
	三		弎
	上		丄
	下		丅
	与	與	
	丑		丒
	世		丗卋
	丘		坵
	両	兩	两
	並	竝	傡
	乄		〆
	久		镹
	乗	乘	椉
	乱	亂	
	乾		乹
	亀	龜	
!	予	豫	
	争	爭	
	事		亊叓
	二		弍
	亜	亞	
	亡		兦
	享		亯
	京		亰
	仁		忈
	仏	佛	
	仞		仭
	以		㠯
	仮	假	
	伐		傠
	会	會	
	伝	傳	
	似		佀
	低		仾
	体	體	
!	体		躰軆骵
!	余	餘	
	佞		侫
	併	倂	
	侐		伵
	価	價	
	侮	侮	
	侯		矦
	俎		爼
	俔		悓
	俠		侠
	信		孞
	修		俢
	俱		倶
	倅		伜
	倆		𠈓
	倏		倐
	倹	儉	
	健		徤
	偬		倊傯
	偽	僞	
	備		僃
	傚		俲
	僊		僲
	僕		㒒
	僧	僧	
	儍		傻
	儔		俦
	儕		㑪
	儘		侭
	儞		伱你
	儹		儧
	儼		𠑊
	光		炗炛
	兌		兊
	免	免	
	兎		兔
	児	兒	
!	党	黨	
	兜		兠
	冀		兾
	冂		冋
	円	圓	
	冉		冄
	冊	册	
	冎		叧
	冒		冐
	写	寫	冩
	冤		寃
	冪		羃
	凜		凛
	凡		凢
	処	處	
	凳		凴櫈
	函		凾
	刃		刄
	刈		苅
	刱		剏
	剃		鬀
	剋		尅
	前		偂歬
	剝		剥
	剣		剱
	剣	劍	劒劔𠝏
	剤	劑	
	剰	剩	
	創		刅戧
	劄		箚
	劉		刘
	劫		刧刼
	励	勵	
	労	勞	
	効	效	
	勀		勊
	勁		劤
	勅		敕
	勇		勈
	勉	勉	
	勖		勗
	勢		㔟
	勤	勤	
	勧	勸	
	勲	勳	勛
	勻		匀
	匆		匇囱
	匠		匞
	匡		匩
	匯		滙
	匳		匲奩
	区	區	
	医	醫	
!	医		毉
	卉		芔
	卑	卑	
	卒		卆
	協		恊
	単	單	
	博		愽
	卮		巵
	卯		夘
	即	卽	皍
	却		卻
	卺		巹
	厖		庬
	厚		㫗
	原		厡
	厨	廚	
	厩	廏	廐
	厳	嚴	
	去		厺
	参	參	叅
	双	雙	
	収	收	
	叙	敍	敘
	叡		壡
	叢		樷藂
	台		䑓
	台	臺	
!	台		坮
	号	號	
	吞		呑
	吟		訡
	吹		龡
	吻		脗
	呉		吴
	呪		咒
	和		咊龢
	咤		咜
	咩		哶
	咿		吚
	哲		啠喆嚞
	啀		嘊
	啓		諬
	啞		唖
	善		譱
	喜		歖
	喝	喝	
	喫		噄
	営	營	
	嗜		呩
	嘆	嘆	
	嘑		謼
	嘔		呕
	嘗		甞
	嘯		嘨
	嘱	囑	
	噓		嘘
	器	器	噐
	嚇		吓
	嚔		嚏
	嚙		噛
	囊		嚢
	四		亖
	回		囘
	因		囙
	団	團	
	囲	圍	
	図	圖	
	国	國	囶圀
	圃		圑
	圏	圈	
	園		薗
	土		圡𡈽
	圧	壓	
	垂		埀
	垓		畡
	埋		薶
	埒		埓
	埣		𡉻
	堕	墮	
	堤		埞
	堰		隁
	場		塲
	塀	塀	
	塁	壘	
	塍		畻
	塑		塐
	塔		墖
	塚	塚	
	塡		填
	塩	鹽	
	塹		壍
	墉		牅
	墌		坧
	増	增	
	墨	墨	
	墩		墪
	壊	壞	
	壌	壤	
	壎		塤
	壖		堧
	壗		𡋤
	壚		𡉴
	壟		壠
	壮	壯	
	声	聲	
	壱	壹	
	売	賣	
	壺		壷
	変	變	
	夏		夓
	多		夛
	夢		夣梦
	太		冭夳
	夬		叏
	奇		竒
	奘		弉
	奥	奧	
	奨	奬	獎
	妊		姙
	妙		玅
	妝		娤𡝂
	妬		妒
	姉		姊
	始		乨兘
	姒		娰
	姦		姧
	姸		妍
	姻		婣
	婁		娄
	婿		壻聟
	嫉		愱
	嫋		嬝
	嫩		嫰
	嫺		嫻
	嬢	孃	
	学	學	斈
	孼		孽
	宇		㝢𡧃
	守		垨
	宜		冝宐
	宝	寶	寚寳
	実	實	
	寇		冦宼
	富		冨
	寓		庽
	寛		寬
	寝	寢	
	寧		寍
	審		宷
	寱		䆿
	対	對	
	寿	壽	
	専	專	
	将	將	
	尉		叞
	尠		尟
	尢		尣
	尫		尩
	尭	堯	
	尶		凲尲
	尽	盡	
	屁		𥧔
	届	屆	
	屎		宩
	屛		屏
	属	屬	
	屢		屡
	層	層	
	屭		屓
	岡		崗
	岪		𡶒
	岳	嶽	
	岸		㟁
	岺		岭
	峒		峝
	峡	峽	
	峨		峩
	峰		峯
	島		㠀嶋嶌嶹
	崎		㟢嵜﨑
	崑		崐
	崖		崕
	崙		崘
	崛		崫
	嵆		嵇
	嵌		篏
	嵒		嵓
	嵬		㟴
	嵯		嵳
	嶄		嶃
	嶇		岴
	嶢		嶤𡸳
	嶧		𡵸
	嶮		𡸴
	巌	巖	巗
	川		巛
	巣	巢	
	巷		衖
	巻	卷	
	帆		㠶䑺
	帑		伖
	帚		菷
	帯	帶	
	帰	歸	皈
	幇		帮幫
	幟		旘
	幣		幤
	幮		㡡
	年		秊
	幷		并
	庁	廳	廰
	広	廣	
	廁		厠
	廃	廢	
	廈		厦
	廊	廊	
	廑		厪
	廒		厫
	廛		鄽
	廝		厮
	廟		庿
	廠		厰
	廻		廽𢌞
!	弁	辨辯瓣	辧
	弄		挊挵
	弐	貳	貮
	弥	彌	镾
	弼		弻
	弾	彈	
	彎		弯
	彐		彑
	当	當	
	彝		彛彜
	往		徃
	征		徰
	径	徑	
	徇		狥
	従	從	从
	徳	德	悳𢛳
	徴	徵	
	応	應	
	怖		悑
	思		恖
	怪		恠
	怱		忩悤
	恋	戀	
	恒	恆	
	恤		䘏
	恥		耻
	恪		愙
	恵	惠	僡
	悋		恡
	悍		猂
